SalePrice,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),class_price
38938,1992,2008,4,355,13,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
38938,1992,2010,4,355,2,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
38938,1992,2010,1,355,10,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
38938,1992,2010,1,355,11,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
38938,1992,2010,3,355,12,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39380,1992,2010,6,355,3,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39380,1992,2009,10,355,8,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39823,1992,2010,7,355,3,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39823,1992,2011,8,355,2,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39823,1992,2010,2,355,8,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39823,1992,2011,4,355,1,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39823,1992,2008,1,355,12,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39823,1992,2011,2,355,13,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39823,1992,2007,10,355,5,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
39823,1992,2011,3,355,11,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
40088,1992,2011,1,355,4,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
40265,1992,2011,6,355,12,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
41061,1992,2010,12,355,14,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
42477,1992,2011,10,355,2,200.00,0.00,7.50,12.50,3.00,5.00,10.00,7.00,1,1.00,1.00,5.00,1.00,4.00,3.00,5.00,5.00,3,16.00,17.00,A
